ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
49;;;Burbank;;;BUR;;;BUR;;;KBUR;;;Bob Hope Airport (Hollywood Burbank Airport);;;P-M;;;1919005;;;CALIFORNIA;;;34.200667;;;-118.358667
60;;;Ontario;;;ONT;;;ONT;;;KONT;;;Ontario International Airport;;;P-M;;;1970538;;;CALIFORNIA;;;34.056;;;-117.601194
215;;;Omaha;;;OMA;;;OMA;;;KOMA;;;Eppley Airfield;;;P-M;;;1977480;;;NEBRASKA;;;41.303167;;;-95.894069
6;;;Anchorage;;;ANC;;;ANC;;;PANC;;;Ted Stevens Anchorage International Airport;;;P-M;;;2325030;;;ALASKA;;;61.174361;;;-149.996361
227;;;Albuquerque;;;ABQ;;;ABQ;;;KABQ;;;Albuquerque International Sunport;;;P-M;;;2477960;;;NEW MEXICO;;;35.0402222;;;-106.6091944
88;;;Jacksonville;;;JAX;;;JAX;;;KJAX;;;Jacksonville International Airport;;;P-M;;;2549712;;;FLORIDA;;;30.494056;;;-81.687861
234;;;Buffalo;;;BUF;;;BUF;;;KBUF;;;Buffalo Niagara International Airport;;;P-M;;;2568018;;;NEW YORK;;;42.940525;;;-78.732167
82;;;Hartford;;;BDL;;;BDL;;;KBDL;;;Bradley International Airport;;;P-M;;;2681718;;;CONNECTICUT;;;41.938889;;;-72.683222
147;;;Cincinnati/Covington;;;CVG;;;CVG;;;KCVG;;;Cincinnati/Northern Kentucky International Airport;;;P-M;;;2776377;;;KENTUCKY;;;39.048836;;;-84.667822
103;;;West Palm Beach;;;PBI;;;PBI;;;KPBI;;;Palm Beach International Airport;;;P-M;;;2848901;;;FLORIDA;;;26.683161;;;-80.095589
113;;;Kahului, Maui;;;OGG;;;OGG;;;PHOG;;;Kahului Airport;;;P-M;;;2955304;;;HAWAII;;;20.89865;;;-156.430458
265;;;Columbus;;;CMH;;;CMH;;;KCMH;;;Port Columbus International Airport;;;P-M;;;3065569;;;OHIO;;;39.997972;;;-82.891889
366;;;Milwaukee;;;MKE;;;MKE;;;KMKE;;;General Mitchell International Airport;;;P-M;;;3228607;;;WISCONSIN;;;42.947222;;;-87.896583
137;;;Indianapolis;;;IND;;;IND;;;KIND;;;Indianapolis International Airport;;;P-M;;;3535579;;;INDIANA;;;39.717331;;;-86.294383
313;;;Dallas;;;DAL;;;DAL;;;KDAL;;;Dallas Love Field;;;P-M;;;3783407;;;TEXAS;;;32.847111;;;-96.851778
284;;;Pittsburgh;;;PIT;;;PIT;;;KPIT;;;Pittsburgh International Airport;;;P-M;;;3813007;;;PENNSYLVANIA;;;40.491467;;;-80.232872
327;;;San Antonio;;;SAT;;;SAT;;;KSAT;;;San Antonio International Airport;;;P-M;;;3916320;;;TEXAS;;;29.533694;;;-98.469778
308;;;Austin;;;AUS;;;AUS;;;KAUS;;;Austin-Bergstrom International Airport;;;P-M;;;4201136;;;TEXAS;;;30.194528;;;-97.669889
63;;;Sacramento;;;SMF;;;SMF;;;KSMF;;;Sacramento International Airport;;;P-M;;;4255145;;;CALIFORNIA;;;38.695417;;;-121.590778
66;;;San Jose;;;SJC;;;SJC;;;KSJC;;;Norman Y. Mineta San José International Airport;;;P-M;;;4317896;;;CALIFORNIA;;;37.3626;;;-121.929022
320;;;Houston;;;HOU;;;HOU;;;KHOU;;;William P. Hobby Airport;;;P-M;;;4357835;;;TEXAS;;;29.645419;;;-95.278889
264;;;Cleveland;;;CLE;;;CLE;;;KCLE;;;Cleveland-Hopkins International Airport;;;P-M;;;4375822;;;OHIO;;;41.411689;;;-81.849794
305;;;Nashville;;;BNA;;;BNA;;;KBNA;;;Nashville International Airport (Berry Field);;;P-M;;;4432527;;;TENNESSEE;;;36.124472;;;-86.678194
254;;;Raleigh;;;RDU;;;RDU;;;KRDU;;;Raleigh-Durham International Airport;;;P-M;;;4482973;;;NORTH CAROLINA;;;35.877639;;;-78.787472
68;;;Santa Ana;;;SNA;;;SNA;;;KSNA;;;John Wayne Airport (was Orange County Airport);;;P-M;;;4542376;;;CALIFORNIA;;;33.675667;;;-117.868222
157;;;New Orleans;;;MSY;;;MSY;;;KMSY;;;Louis Armstrong New Orleans International Airport;;;P-M;;;4577498;;;LOUISIANA;;;29.993389;;;-90.258028
59;;;Oakland;;;OAK;;;OAK;;;KOAK;;;Oakland International Airport;;;P-M;;;4771830;;;CALIFORNIA;;;37.721278;;;-122.220722
202;;;Kansas City;;;MCI;;;MCI;;;KMCI;;;Kansas City International Airport (originally Mid-Contintent International Airport);;;P-M;;;4836221;;;MISSOURI;;;39.297606;;;-94.713905
304;;;Memphis;;;MEM;;;MEM;;;KMEM;;;Memphis International Airport;;;P-M;;;4930935;;;TENNESSEE;;;35.042417;;;-89.976667
204;;;St. Louis;;;STL;;;STL;;;KSTL;;;Lambert-St. Louis International Airport;;;P-M;;;6213972;;;MISSOURI;;;38.748697;;;-90.370028
